name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
05_If_result,7,59.694917920196445,88.88888888888889,0.79,52.53819788848316,80.0,0.73,52.53819788848316,80.0,0.72
05_If_result,2,37.99178428257963,70.0,0.68,37.99178428257963,70.0,0.68,,,
05_If_result,2,41.11336169005196,85.71428571428571,0.73,41.11336169005196,85.71428571428571,0.73,,,
05_If_result,8,30.21375397356768,80.0,0.74,30.21375397356768,80.0,0.74,30.21375397356768,80.0,0.74
05_If_result,1,0.0,50.0,0.5,,,,,,
05_If_result,1,0.0,0.0,0.04,,,,,,
05_If_result,3,0.0,100.0,0.91,3.3864985683445354,8.333333333333334,0.18,0.0,0.0,0.07
06_Goto_result,11,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.15
06_Goto_result,7,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01
06_Goto_result,1,0.1083773671445434,27.77777777777778,0.03,,,,,,
06_Goto_result,11,4.540013809283726,22.22222222222222,0.28,4.065425428798724,23.07692307692308,0.29,0.8853994618255676,4.081632653061225,0.13
06_Goto_result,7,5.08764122072739,28.571428571428573,0.25,10.127993013562818,41.66666666666666,0.29,4.456882760699063,25.0,0.17
06_Goto_result,2,13.485111859503691,44.44444444444444,0.33,5.868924818816531,28.571428571428573,0.29,,,
06_Goto_result,2,4.065425428798724,23.07692307692308,0.18,5.669791110976001,22.22222222222222,0.29,,,
06_Goto_result,8,5.522397783539471,12.5,0.12,0.0,0.0,0.18,4.767707020457095,11.11111111111111,0.17
06_Goto_result,1,0.5943123208853887,1.639344262295082,0.0,,,,,,
06_Goto_result,1,30.2108358215426,59.64912280701754,0.22,,,,,,
06_Goto_result,11,80.91067115702207,85.71428571428571,0.84,10.25267180172767,13.636363636363637,0.3,80.91067115702207,85.71428571428571,0.88
06_Goto_result,7,100.00000000000004,100.0,0.91,80.91067115702207,85.71428571428571,0.88,10.499901541839392,13.953488372093023,0.25
06_Goto_result,8,61.47881529512643,71.42857142857143,0.84,61.47881529512643,71.42857142857143,0.84,61.47881529512643,71.42857142857143,0.84
06_Goto_result,4,41.11336169005198,57.142857142857146,0.61,9.04356577965534,15.384615384615383,0.2,41.11336169005198,57.142857142857146,0.61
06_Goto_result,2,0.0,100.0,0.89,0.0,100.0,0.89,,,
06_Goto_result,1,0.7860561859628806,3.636363636363636,0.03,,,,,,
06_Goto_result,1,0.0,0.0,0.0,,,,,,
06_Goto_result,1,23.04030537991532,40.298507462686565,0.2,,,,,,
06_Goto_result,11,4.673289785800722,40.0,0.32,12.462989337200144,83.33333333333333,0.4,5.171845311465849,60.0,0.33
06_Goto_result,7,6.023021415818187,75.0,0.4,6.316906128202129,60.0,0.64,18.78116091903148,21.951219512195124,0.17
06_Goto_result,8,6.9717291216921975,40.0,0.67,75.98356856515926,80.0,0.54,6.9717291216921975,40.0,0.67
06_Goto_result,4,41.11336169005198,60.0,0.56,13.597796343834904,22.22222222222222,0.22,41.11336169005198,60.0,0.56
06_Goto_result,2,100.00000000000004,100.0,0.87,68.037493331712,75.0,0.84,,,
06_Goto_result,1,100.00000000000004,100.0,0.8,,,,,,
06_Goto_result,8,1.6466642419110007,4.3478260869565215,0.06,0.0,100.0,0.86,1.3353534059549443,3.571428571428572,0.07
06_Goto_result,1,1.9381886040198415,5.2631578947368425,0.06,,,,,,
