name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,WithinTop3 (Precision),SequenceMatch
17_Circle_result,7,48.3269783090622,81.8181818181818,0.74,17.2422212897666,63.6363636363636,0.71,48.3269783090622,81.8181818181818,0.74,,81.8181818181818,0.74
17_Circle_result,2,11.0447955670789,60,0.6,21.3643503198117,70,0.72,,,,,70,0.72
17_Circle_result,2,48.5491771707324,77.7777777777778,0.64,48.5491771707324,77.7777777777778,0.64,,,,,77.7777777777778,0.64
17_Circle_result,8,5.52239778353947,12.5,0.38,0,0,0.09,5.52239778353947,12.5,0.38,,12.5,0.38
17_Circle_result,1,54.7518253506945,80,0.69,,,,,,,,80,0.69
17_Circle_result,8,0,0,0.33,5.52239778353947,12.5,0.38,15.9735776061568,25,0.62,,25,0.62
17_Circle_result,1,0,33.3333333333333,0.35,,,,,,,,33.3333333333333,0.35
17_Circle_result,8,0,0,0.46,0,0,0.36,5.52239778353947,12.5,0.38,,12.5,0.46
17_Circle_result,1,0,66.6666666666667,0.83,,,,,,,,66.6666666666667,0.83
17_Circle_result,8,0,100,0.86,15.9735776061568,25,0.62,15.9735776061568,25,0.57,,100,0.86
17_Circle_result,1,0,100,0.67,,,,,,,,100,0.67
03_Variables_result,11,1.08850110495196,2.94117647058824,0.16,1.15997138349695,3.125,0.16,0.886491412451857,5.55555555555556,0.13,,5.55555555555556,0.16
03_Variables_result,7,5.08764122072739,28.5714285714286,0.24,11.2084667509611,45.4545454545455,0.32,11.2084667509611,45.4545454545455,0.32,,45.4545454545455,0.32
03_Variables_result,2,13.4851118595037,44.4444444444444,0.31,5.79559961299537,25,0.28,,,,,44.4444444444444,0.31
03_Variables_result,2,6.5672747360604,25,0.17,5.669791110976,22.2222222222222,0.28,,,,,25,0.28
03_Variables_result,8,0,0,0.14,0,0,0.19,0,0,0.2,,0,0.2
03_Variables_result,1,0,100,0.67,,,,,,,,100,0.67
03_Variables_result,1,43.0980916274732,70,0.73,,,,,,,,70,0.73
03_Variables_result,11,100,100,0.91,39.2814650900513,50,0.5,100,100,0.91,,100,0.91
03_Variables_result,7,80.9106711570221,85.7142857142857,0.83,80.9106711570221,85.7142857142857,0.83,80.9106711570221,85.7142857142857,0.83,,85.7142857142857,0.83
03_Variables_result,8,61.4788152951264,71.4285714285714,0.78,61.4788152951264,71.4285714285714,0.78,61.4788152951264,71.4285714285714,0.78,,71.4285714285714,0.78
03_Variables_result,4,9.2875289995668,57.1428571428571,0.48,41.113361690052,57.1428571428571,0.46,41.113361690052,57.1428571428571,0.46,,57.1428571428571,0.48
03_Variables_result,2,0,100,0.8,0,100,0.8,,,,,100,0.8
03_Variables_result,1,0,66.6666666666667,0.4,,,,,,,,66.6666666666667,0.4
03_Variables_result,1,6.5672747360604,14.2857142857143,0.12,,,,,,,,14.2857142857143,0.12
03_Variables_result,1,31.1079728148244,38.4615384615385,0.61,,,,,,,,38.4615384615385,0.61
03_Variables_result,11,2.14328342724741,11.6279069767442,0.17,61.1538057690102,71.4285714285714,0.88,0,33.3333333333333,0.26,,71.4285714285714,0.88
03_Variables_result,7,40.8960147204368,61.5384615384615,0.79,40.8960147204368,61.5384615384615,0.79,49.0094103930695,60,0.74,,61.5384615384615,0.79
03_Variables_result,2,36.0056585428503,47.0588235294118,0.64,0,33.3333333333333,0.31,,,,,47.0588235294118,0.64
03_Variables_result,2,13.973536728748,38.8888888888889,0.46,31.3142248138273,43.75,0.55,,,,,43.75,0.55
03_Variables_result,8,0,0,0.15,7.53583812877054,15.7894736842105,0.23,10.5710708571515,21.4285714285714,0.31,,21.4285714285714,0.31
03_Variables_result,2,5.67967744513558,14.2857142857143,0.27,2.48298868307059,6.66666666666667,0.11,,,,,14.2857142857143,0.27
03_Variables_result,8,4.19611490629655,10,0.24,0,100,0.89,0,100,0.89,,100,0.89
03_Variables_result,1,4.19611490629655,10,0.15,,,,,,,,10,0.15
25_Events_result,11,7.16047614494885,20,0.12,0.706760440530684,3.27868852459016,0.08,0.556863322304591,1.53846153846154,0.08,,20,0.12
25_Events_result,7,8.64301961604853,42.8571428571429,0.57,3.74777673667792,9.09090909090909,0.19,3.74777673667792,9.09090909090909,0.11,,42.8571428571429,0.57
25_Events_result,2,0,0,0.15,0,33.3333333333333,0.21,,,,,33.3333333333333,0.21
25_Events_result,2,0,0,0.09,6.83720333911628,23.0769230769231,0.19,,,,,23.0769230769231,0.19
25_Events_result,8,6.5672747360604,25,0.18,0.966867075067249,4.44444444444444,0.04,0.662225824968673,3.07692307692308,0.03,,25,0.18
25_Events_result,1,0.132300099006363,66.6666666666667,0.05,,,,,,,,66.6666666666667,0.05
25_Events_result,11,14.5357684242055,42.8571428571429,0.51,6.77299713668907,16.6666666666667,0.45,7.49555347335585,25,0.51,,42.8571428571429,0.51
25_Events_result,7,2.62796171040844,6.66666666666667,0.18,3.74777673667792,9.09090909090909,0.14,3.74777673667792,9.09090909090909,0.14,,9.09090909090909,0.18
25_Events_result,2,0,0,0.15,1.72722379921679,4.54545454545455,0.19,,,,,4.54545454545455,0.19
25_Events_result,2,1.38781927786159,3.7037037037037,0.14,1.646664241911,4.34782608695652,0.2,,,,,4.34782608695652,0.2
25_Events_result,8,0,0,0.08,0,0,0.12,0,0,0.11,,0,0.12
25_Events_result,1,14.0780879865055,66.6666666666667,0.08,,,,,,,,66.6666666666667,0.08
25_Events_result,11,7.80984984230064,28.5714285714286,0.21,23.6435402250794,60,0.8,23.6435402250794,60,0.8,,60,0.8
25_Events_result,7,9.65243487740224,33.3333333333333,0.6,18.9958921412898,50,0.7,3.37715641433785,14.2857142857143,0.29,,50,0.7
25_Events_result,2,0,33.3333333333333,0.36,10.6821751599058,20,0.28,,,,,33.3333333333333,0.36
25_Events_result,2,0,100,0.96,4.7677070204571,11.1111111111111,0.45,,,,,100,0.96
25_Events_result,8,10.6821751599058,20,0.65,1.19934812925296,3.2258064516129,0.1,0,33.3333333333333,0.87,,33.3333333333333,0.87
25_Events_result,1,0.0800780193837476,60,0.1,,,,,,,,60,0.1
25_Events_result,1,0.160499250900365,72.7272727272727,0.1,,,,,,,,72.7272727272727,0.1
25_Events_result,11,4.40592542502521,60,0.35,7.20839358515254,60,0.49,6.88720769430619,50,0.51,,60,0.51
25_Events_result,1,16.2033648978277,55.5555555555556,0.58,,,,,,,,55.5555555555556,0.58
