name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,Max Precision,Max Seq Match
strindex_result,1,15.8138597957671,46.3414634146342,0.21,,,,,,,,46.3414634146342,0.21
strindex_result,9,1.28671309596092,3.44827586206897,0.04,1.44458099817709,3.84615384615385,0.05,2.1476912089159,5.55555555555556,0.07,,5.55555555555556,0.07
strindex_result,9,0.556863322304591,1.53846153846154,0.04,0.574978592501612,1.58730158730159,0.05,0,0,0.13,,1.58730158730159,0.13
strindex_result,6,1.40055478342014,3.84615384615385,0.03,1.32198365792839,3.63636363636364,0.03,0,0,0,,3.84615384615385,0.03
strindex_result,2,2.05066232062336,5.55555555555556,0.03,6.5672747360604,14.2857142857143,0.13,,,,,14.2857142857143,0.13
strindex_result,11,0.508775756200826,1.40845070422535,0.01,3.0890553181567,7.69230769230769,0.08,3.74777673667792,9.09090909090909,0.1,,9.09090909090909,0.1
strindex_result,9,0,0,0.03,0.70027739171007,1.92307692307692,0.05,3.0890553181567,7.69230769230769,0.36,,7.69230769230769,0.36
strindex_result,6,2.24619928920796,6.06060606060606,0.03,16.233395773755,33.3333333333333,0.13,9.53541404091419,22.2222222222222,0.21,,33.3333333333333,0.21
strindex_result,2,22.4233791545481,30.2325581395349,0.27,4.6398855339878,25,0.18,,,,,30.2325581395349,0.27
strindex_result,8,26.3969328841677,36.1111111111111,0.31,18.5297275141794,41.3793103448276,0.35,19.9404459890889,40,0.25,,41.3793103448276,0.35
strindex_result,8,2.27685959207304,10,0.17,34.1413387303485,45.8333333333333,0.6,17.2465781369342,23.9130434782609,0.31,,45.8333333333333,0.6
strindex_result,2,13.1104099449265,22.5,0.18,8.81592128301207,20,0.19,,,,,22.5,0.19
strindex_result,11,0,0,0,4.7677070204571,11.1111111111111,0.12,0,0,0,,11.1111111111111,0.12
strindex_result,9,0,0,0.07,0.729169864454126,2,0.07,0,0,0.08,,2,0.08
strindex_result,2,21.3643503198117,40,0.44,8.11669788687748,16.6666666666667,0.18,,,,,40,0.44
strindex_result,11,0,0,0.07,17.7474052800503,33.3333333333333,0.38,24.4461511217451,42.8571428571429,0.57,,42.8571428571429,0.57
strindex_result,3,1.71790600122992,7.69230769230769,0.18,3.0890553181567,7.69230769230769,0.09,0,50,0.35,,50,0.35
strindex_result,10,0,33.3333333333333,0.74,0,33.3333333333333,0.74,0,50,0.38,,50,0.74
strindex_result,9,0,0,0,0,0,0.08,0,0,0,,0,0.08
strindex_result,1,0.508775756200826,1.40845070422535,0.01,,,,,,,,1.40845070422535,0.01
strindex_result,35,0,0,0,0,0,0,0,0,0,,0,0
strindex_result,35,1.72722379921679,4.54545454545455,0.02,0,0,0,0,0,0,,4.54545454545455,0.02
strindex_result,35,0,0,0.1,0,100,1,0,0,0.1,,100,1
strindex_result,6,0,0,0,0,0,0,0,0,0,,0,0
strindex_result,1,8.11669788687748,16.6666666666667,0.13,,,,,,,,16.6666666666667,0.13
strindex_result,35,0,0,0,0,0,0.12,0,0,0,,0,0.12
strindex_result,6,0,0,0,0,0,0,0,0,0,,0,0
strindex_result,1,15.9735776061568,25,0.22,,,,,,,,25,0.22
